ID	incorr_sentence	corr_sentence	word count	wrong1	correct1	wrong2	correct2	wrong3	correct3	wrong4	correct4	wrong5	correct5	wrong6	correct6	src	edits_count	len
94	Thirdly, the researchers find that threatened meaning can even act as a triger for nostalgia, thus increasing one's nostalgic reflections.	Thirdly, the researchers found that threatened meaning can even act as a trigger for nostalgia, thus increasing one's nostalgic reflections.	20	Vt	4,5|||found	Mec	13,14|||trigger									https://en.wikipedia.org/wiki/Nostalgia	2	20
95	In a 2014 study conduct by Routledge, he and a team observed that the more people reported have major disruptions and uncertainties in they lives, the more their nostalgically longed for the past.	In a 2014 study conducted by Routledge, he and a team observed that the more people reported having major disruptions and uncertainties in their lives, the more they nostalgically longed for the past.	33	Vt	4,5|||conducted	Vform	18,19|||having	Pform	24,25|||their	Pform	29,30|||they					https://en.wikipedia.org/wiki/Nostalgia	4	30
96	Aesthetics, a non very tidy intellectual discipline, is a heterogeneous collection of problems that concern an arts primarily but also relate about nature.	Aesthetics, a not very tidy intellectual discipline, is a heterogeneous collection of problems that concern the arts primarily but also relate to nature.	23	Wci	3,4|||not	ArtOrDe	17,18|||the	Wci	23,24|||to							https://en.wikipedia.org/wiki/Aesthetics	3	20
97	It's what a thing means or symbolizes to us that is often what we are judging.	It is what a thing means or symbolizes for us that is often what we are judging.	17	Wtone	0,2|||It is	Prep	8,9|||for									https://en.wikipedia.org/wiki/Aesthetics	2	10
98	For instant, the source of a painting's beauty has a different characters to that of beautiful music, suggesting his or her aesthetics differ in kind.	For instance, the source of a painting's beauty has a different character to that of beautiful music, suggesting their aesthetics differ in kind.	23	Wci	1,2|||instance	Nn	13,14|||character	Pref	21,24|||their							https://en.wikipedia.org/wiki/Aesthetics	3	20
99	Another very concrete example describes a aesthetical pleasing human face whose proportion can be described by very a few bits of information, drawn inspiration from less detailed 15th century proportion studies by Leonardo da Vinci and Albrecht Dürer.	Another very concrete example describes an aesthetically pleasing human face whose proportions can be described by very few bits of information, drawing inspiration from less detailed 15th century proportion studies by Leonardo da Vinci and Albrecht Dürer.	37	ArtOrDe	5,6|||an	Wform	6,7|||aesthetically	Nn	11,12|||proportions	ArtOrDe	17,18|||	Vform	23,24|||drawing			https://en.wikipedia.org/wiki/Aesthetics	5	30
100	Each presents perspectives that widely shared by published scholars.	Each presents perspectives that are widely shared by published scholars.	10	Sfrag	4,4|||are											https://en.wikipedia.org/wiki/Truth	1	10
101	Much modern theorists have stated that this ideal cannot be achieved without analysing additional factors.	Many modern theorists have stated that this ideal cannot be achieved without analysing additional factors.	15	Others	0,1|||Many											https://en.wikipedia.org/wiki/Truth	1	10
102	Amongst the assortment of perspectives commonly regard as coherence theory, theorists differ on question of whether coherence entails many possible ture systems of thought or only a single absolute system. 	Among the assortment of perspectives commonly regarded as coherence theory, theorists differ on the question of whether coherence entails many possible true systems of thought or only a single absolute system. 	31	Prep	0,1|||Among	Vform	6,7|||regarded	ArtOrDe	14,14|||the	Mec	21,22|||true					https://en.wikipedia.org/wiki/Truth	4	30
103	Consensus theory held that truth is whatever is agreed upon, or in some versions, might come to be agreed upon, by some specified group.	Consensus theory holds that truth is whatever is agreed upon, or in some versions, might come to be agreed upon, by some specified group.	24	Vt	2,3|||holds											https://en.wikipedia.org/wiki/Truth	1	20
104	It sometimes hard to find out one has this disease.	It is sometimes hard to find out if one has this disease.	12	V0	1,1|||is	Trans	6,6|||if									https://www.comp.nus.edu.sg/~nlp/conll14st/CoNLLST01.pdf	2	10
105	In 1840 a Royal Commission published its findings on an state in conditions for the workers of the mining industry that documented appallingly the dangerous environment they had to work on and the high frequency of accidents.	In 1840 a Royal Commission published its findings on the state of conditions for the workers of the mining industry that documented the appallingly dangerous environment that they had to work in and the high frequency of accidents.	38	ArtOrDe	9,10|||the	Wci	11,12|||of	WOinc	22,24|||the appallingly	Ssub	26,26|||that	Wci	30,31|||in			https://en.wikipedia.org/wiki/Occupational_safety_and_health	5	30
106	As labor movements arose in response to workers concerns in the wake of the industrial revolution, worker's health entered consideration as a labor-related issue.	As labor movements arose in response to worker concerns in the wake of the industrial revolution, worker's health entered consideration as a labor-related issue.	24	Nn	7,8|||worker											https://en.wikipedia.org/wiki/Occupational_safety_and_health	1	20
107	Many Greek texts were written during the golden age of the theory of the four humors in Greek medicine after Galen.	Many Greek texts were written during the golden age of the theory of the four humors in Greek medicine after Galen.	21													https://en.wikipedia.org/wiki/Humorism	0	20
108	The phlegm of humorism is far from the same thing as phlegm as it is defined today.	The phlegm of humorism is far from the same thing as phlegm as it is defined today.	17													https://en.wikipedia.org/wiki/Humorismm	0	10
109	If anything goes wrong leading up to the formation of humors, the humors will not be in good condition.	If anything goes wrong leading up to the formation of humors, the humors will not be in good condition.	19													https://en.wikipedia.org/wiki/Humorismm	0	10
110	Humors are the end product of gastric digestion but they are not the end product of the digestion cycle so an abnormal humor produced by hepatic digestion will lead to affect other organs that are working towards the digestion of the food in the digestion cycle. 	Humors are the end product of gastric digestion but they are not the end product of the digestion cycle so an abnormal humor produced by hepatic digestion will lead to affect other organs that are working towards the digestion of the food in the digestion cycle. 	46													https://en.wikipedia.org/wiki/Humorismm	0	40
111	The definitions of old age continue to change, especially as life expectancy in developed countries has risen to beyond 80 years old.	The definitions of old age continue to change, especially as life expectancy in developed countries has risen to beyond 80 years old.	22													https://en.wikipedia.org/wiki/Old_age	0	20
112	However, the authors' methods and conclusions drew criticism from the scientific community, who concluded that the study was flawed.	However, the authors' methods and conclusions drew criticism from the scientific community, who concluded that the study was flawed.	19													https://en.wikipedia.org/wiki/Old_age	0	10
113	In ancient times, although some strong and healthy people lived until they were over 70 most died before they were 50.	In ancient times, although some strong and healthy people lived until they were over 70 most died before they were 50.	21													https://en.wikipedia.org/wiki/Old_age	0	20
114	Despite its prevalence, ageism is seldom the subject of public discourse.	Despite its prevalence, ageism is seldom the subject of public discourse.	11													https://en.wikipedia.org/wiki/Old_age	0	10
115	In 1066, the Normans and their Breton allies invaded England from northern France and after its conquest, seized large parts of Wales, conquered much of Ireland and were invited to settle in Scotland, bringing to each country feudalism on the Northern French model and Norman-French culture.	In 1066, the Normans and their Breton allies invaded England from northern France and after its conquest, seized large parts of Wales, conquered much of Ireland and were invited to settle in Scotland, bringing to each country feudalism on the Northern French model and Norman-French culture.	46													https://en.wikipedia.org/wiki/United_Kingdom	0	40
116	Churchill engaged industry, scientists and engineers to advise and support the government and the military in the prosecution of the war effort.	Churchill engaged industry, scientists and engineers to advise and support the government and the military in the prosecution of the war effort.	22													https://en.wikipedia.org/wiki/United_Kingdom	0	20
117	The cabinet is traditionally drawn from members of the prime minister's party or coalition and mostly from the House of Commons but always from both legislative houses, the cabinet being responsible to both.	The cabinet is traditionally drawn from members of the prime minister's party or coalition and mostly from the House of Commons but always from both legislative houses, the cabinet being responsible to both.	33													https://en.wikipedia.org/wiki/United_Kingdom	0	30
118	Access to improved water supply and sanitation in the UK is universal.	Access to improved water supply and sanitation in the UK is universal.	12													https://en.wikipedia.org/wiki/United_Kingdom	0	10
119	There was an alternative, more direct, tradition in British portraiture to that of Lely and Kneller, tracing back to William Dobson and the German or Dutch Gerard Soest, who trained John Riley, to whom only a few works are firmly attributed and who in turn trained Jonathan Richardson, a fine artist who trained Thomas Hudson who trained Joshua Reynolds and Joseph Wright of Derby.	There was an alternative, more direct, tradition in British portraiture to that of Lely and Kneller, tracing back to William Dobson and the German or Dutch Gerard Soest, who trained John Riley, to whom only a few works are firmly attributed and who in turn trained Jonathan Richardson, a fine artist who trained Thomas Hudson who trained Joshua Reynolds and Joseph Wright of Derby.	64													https://en.wikipedia.org/wiki/Art_of_the_United_Kingdom	0	60
120	The annual Turner Prize, founded in 1984 and organized by the Tate, has developed as a highly publicized showcase for contemporary British art. 	The annual Turner Prize, founded in 1984 and organized by the Tate, has developed as a highly publicized showcase for contemporary British art. 	23													https://en.wikipedia.org/wiki/Art_of_the_United_Kingdom	0	20
121																		
122																		
123																		
124																		
125																		
126																		
127																		
128																		
129																		
130																		
131																		
132																		
133																		
134																		
135																		
136																		
137																		
138																		
139																		
140																		
141																		
142																		
143																		
144																		
145																		
146																		
147																		
148																		
149																		
150																		
151																		
152																		
153																		
154																		
155																		
156																		
157																		
158																		
159																		
160																		
161																		
162																		
163																		
